x,y,phi,k1,k2,s1,s2
0.2343157572406976,0.26475207020303837,-0.46142380672352296,-25.0,10.107149300116053,0,1
0.23435250935108717,0.26476206569312083,-0.46248384099697193,-25.0,10.3349433478152,0,1
0.23438561371984737,0.26477080673254005,-0.463437940688108,-25.0,10.539976283151102,0,1
0.23441531719095687,0.2647784385956424,-0.4642934827118841,-25.0,10.723833063187795,0,1
0.2344418672783474,0.2647850914671786,-0.4650577966880975,-25.0,10.88808840636267,0,1
0.23446550892374446,0.26479088162241005,-0.46573808606921696,-25.0,11.034289871561905,0,1
0.2344864817468531,0.26479591263332874,-0.46634136072040944,-25.0,11.163943394232176,0,1
0.23450501776726476,0.2648002765574705,-0.466874380748289,-25.0,11.278501235711687,0,1
0.23452133957053153,0.2648040550781168,-0.46734361116045886,-25.0,11.379352256052375,0,1
0.23453565888582298,0.2648073205751422,-0.46775518676180733,-25.0,11.467814382895476,0,1
0.23454817553917484,0.26481013711431595,-0.46811488655547934,-25.0,11.545129119397533,0,1
0.23455907674431115,0.264812561349569,-0.46842811681506474,-25.0,11.61245791248462,0,1
0.23456853669215932,0.2648146433377653,-0.468699901927506,-25.0,11.67088018834296,0,1
0.23457671640029026,0.264816427269062,-0.468934882070481,-25.0,11.721392854384712,0,1
0.23458376378443574,0.2648179521182619,-0.4691373167800111,-25.0,11.764911065199978,0,1
0.23458981391581207,0.26481925222388353,-0.4693110934799148,-25.0,11.802270053393475,0,1
0.23459498943007484,0.26482035780223895,-0.4694597400804655,-25.0,11.83422783385,0,1
0.23459940105621915,0.26482129540381777,-0.4695864408052204,-25.0,11.86146860102252,0,1
0.2346031482365092,0.26482208831890736,-0.4696940544686252,-25.0,11.884606652466378,0,1
0.23460631981146554,0.26482275693878254,-0.46978513449905474,-25.0,11.904190687281787,0,1
0.23460899474696595,0.26482331907808204,-0.46986195007915477,-25.0,11.920708344672224,0,1
0.234611242883543,0.2648237902632422,-0.46992650785480494,-25.0,11.934590864858363,0,1
0.23461312569091977,0.2648241839911382,-0.4699805737432434,-25.0,11.946217771572716,0,1
0.23461469701365578,0.2648245119614262,-0.47002569444782266,-25.0,11.955921491857355,0,1
0.23461600379643097,0.2648247842855078,-0.4700632183598541,-25.0,11.963991844543061,0,1
0.23461708677994453,0.2648250096745572,-0.47009431559581166,-25.0,11.97068034333605,0,1
0.2346179811606204,0.2648251956086593,-0.4701199969799197,-25.0,11.976204273689852,0,1
0.2346187172092815,0.2648253484887994,-0.4701411318373088,-25.0,11.980750514478302,0,1
0.234619320845674,0.2648254737732039,-0.4701584645112361,-25.0,11.984479085855986,0,1
0.23461981416719402,0.26482557609935287,-0.47017262955931716,-25.0,11.987526413593052,0,1
0.2346202159314019,0.26482565939284974,-0.4701841656185087,-25.0,11.990008307642624,0,1
0.23462054199291515,0.2648257269642333,-0.47019352795705366,-25.0,11.992022658815685,0,1
0.23462080569607208,0.26482578159474096,-0.470201099754225,-25.0,11.99365186229969,0,1
